Issue Type,Summary,Description,Acceptance Criteria,Priority,Story Points,Epic Link,Labels
Story,Upcoming payment renewal notice,"As a customer, I am reminded 7 days before my subscription renews.","- Push + email
- Option to update payment method
- Works for all payment types",Medium,2,Notifications & Reminders,MVP
Story,Technician login,"As a technician, I can log in using my staff credentials.","- JWT token issued
- Role = Technician
- Redirect to Jobs screen",High,1,Maintenance Technician Operations,MVP
Story,View assigned jobs list,"As a technician, I see a list of today's jobs with address & time.","- Sorted by time
- Job status badges
- Pull‑to‑refresh",High,3,Maintenance Technician Operations,MVP
Story,Update job status,"As a technician, I can mark a job as En Route, Arrived, or Completed.","- Status updates visible to customer
- Completed requires photo proof
- Timestamp stored",High,3,Maintenance Technician Operations,MVP
Story,Capture photo proof,"As a technician, I upload a photo after filter change as proof.","- Photo stored in S3
- Max 5 MB
- Visible to admin and customer",Medium,3,Maintenance Technician Operations,MVP
Story,Navigation to customer address,"As a technician, I open the job address in Google Maps.","- Tap address launches maps with coordinates
- Works on iOS & Android
- Fallback to browser",Medium,1,Maintenance Technician Operations,MVP
Story,Admin login,"As an admin, I log in via the web portal with 2FA.","- Username/password + OTP
- Redirect to dashboard
- 5‑attempt lockout",High,2,Admin Portal Basic,"Security,MVP"
Story,View active subscriptions,"As an admin, I see a table of active subscribers with status.","- Search & filter by city
- Export to CSV
- Links to subscriber profile",High,3,Admin Portal Basic,MVP
Story,Assign job to technician,"As an admin, I can manually assign installation or maintenance jobs.","- Dropdown of available technicians
- Validation on overlapping schedules
- Both parties notified",Medium,3,Admin Portal Basic,MVP
Story,View payment transactions,"As an admin, I can view all payment transactions and statuses.","- Date range filter
- Amount & fees shown
- Failed payments highlighted",Medium,2,Admin Portal Basic,"Finance,MVP"
Story,Manage technician accounts,"As an admin, I create, disable, and reset passwords for technician accounts.","- Create form with role
- Soft delete retains history
- Email invite sent",Medium,2,Admin Portal Basic,MVP
Story,Backend API (GraphQL/REST),"As a system, I expose secure endpoints for mobile and web clients.","- CRUD for subscriptions, payments, jobs
- Versioned API
- Swagger docs available",High,8,Core Infrastructure & Security,"Tech,MVP"
Story,JWT-based authentication,"As a system, I issue JWT tokens for authenticated sessions.","- Tokens expire after 1 h
- Refresh token endpoint
- Roles encoded in claims",High,5,Core Infrastructure & Security,"Security,MVP"
Story,Encrypt PII in database,"As a system, I encrypt personally identifiable information at rest.","- AES‑256 encryption
- Keys rotated annually
- Logs show access events",High,3,Core Infrastructure & Security,"Compliance,MVP"
Story,Role‑based access control,"As a system, I enforce RBAC for customer, technician, and admin roles.","- Role checking middleware
- Unauthorized access returns 403
- Unit tests for all endpoints",High,3,Core Infrastructure & Security,"Security,MVP"
Story,Application monitoring & logging,"As an ops engineer, I can monitor uptime, errors, and performance.","- Integrate Datadog/NewRelic
- Alerts for 5xx errors > 1% in 5 min
- Dashboard shared with team",Medium,3,Core Infrastructure & Security,"Ops,MVP"
